"path","area_original","area_refinada","area_proyecto","categoria_proyecto","tipo_prueba_proyecto","confidence","reason"
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\01.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\10.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\12.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\15.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\19.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\20.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\25.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\27.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\28.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\31.png","General/No clasificado","MULTI_AREA","","CLAVES","SABER_11","media","material_multiarea"
"10. OTRA PREPACIÓN\Resúmenes por área\Inglés\9. Pasado continuo.pdf","General/No clasificado","INGLES","INGLES","MATERIALES_APOYO","PRACTICA","alta","tokens_ingles"
